id,title,description,availability,condition,price,link,image_link,brand,google_product_category
chk-pepper-gravy-500g,"Black Pepper Chicken Gravy - 500gm","Freshly ground pepper, slow-simmered onion tomato base — pairs with rice or parotta. 500gm pack.",in stock,new,399 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-pepper-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-pepper-gravy-1kg,"Black Pepper Chicken Gravy - 1kg","Freshly ground pepper, slow-simmered onion tomato base — pairs with rice or parotta. 1kg pack.",in stock,new,799 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-pepper-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-chilly-gravy-500g,"Chilly Chicken Gravy - 500gm","Tangy and spicy gravy with a bold chilly punch. 500gm pack.",in stock,new,599 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-chilly-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-chilly-gravy-1kg,"Chilly Chicken Gravy - 1kg","Tangy and spicy gravy with a bold chilly punch. 1kg pack.",in stock,new,1199 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-chilly-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-mom-gravy-500g,"Mom's Recipe - Chicken Gravy - 500gm","Comforting home-style masala with coconut undertones. 500gm pack.",in stock,new,272 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-mom-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-mom-gravy-1kg,"Mom's Recipe - Chicken Gravy - 1kg","Comforting home-style masala with coconut undertones. 1kg pack.",in stock,new,545 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-mom-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-sis-gravy-500g,"Sister's Recipe - Chicken Gravy - 500gm","Spiced home-style chicken gravy with a unique family touch. 500gm pack.",in stock,new,272 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-sis-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-sis-gravy-1kg,"Sister's Recipe - Chicken Gravy - 1kg","Spiced home-style chicken gravy with a unique family touch. 1kg pack.",in stock,new,545 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-sis-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-idli-gravy-500g,"Idli Special Chicken Gravy - 500gm","The perfect companion for soft idlis, packed with flavour. 500gm pack.",in stock,new,361 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-idli-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-idli-gravy-1kg,"Idli Special Chicken Gravy - 1kg","The perfect companion for soft idlis, packed with flavour. 1kg pack.",in stock,new,722 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-idli-gravy.jpg,Vidya's Kitchen,Food & Beverages
chk-pepper-sil-500g,"Sister-in-law's Recipe - Pepper Chicken - 500gm","A signature recipe with bold pepper notes and caramelised onions. 500gm pack.",in stock,new,361 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-pepper-sil.jpg,Vidya's Kitchen,Food & Beverages
chk-pepper-sil-1kg,"Sister-in-law's Recipe - Pepper Chicken - 1kg","A signature recipe with bold pepper notes and caramelised onions. 1kg pack.",in stock,new,722 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-pepper-sil.jpg,Vidya's Kitchen,Food & Beverages
chk-wings-500g,"Chicken Wings - 500gm","Crisp outside, juicy inside — finished with curry leaves and cracked pepper. 500gm pack.",in stock,new,375 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-wings.jpg,Vidya's Kitchen,Food & Beverages
chk-wings-1kg,"Chicken Wings - 1kg","Crisp outside, juicy inside — finished with curry leaves and cracked pepper. 1kg pack.",in stock,new,749 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-wings.jpg,Vidya's Kitchen,Food & Beverages
chk-chilly-dry-500g,"Chilly Chicken (Dry) - 500gm","Wok-tossed with capsicum, onion, and a bold chilli-garlic glaze. 500gm pack.",in stock,new,599 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-chilly-dry.jpg,Vidya's Kitchen,Food & Beverages
chk-chilly-dry-1kg,"Chilly Chicken (Dry) - 1kg","Wok-tossed with capsicum, onion, and a bold chilli-garlic glaze. 1kg pack.",in stock,new,1199 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/chk-chilly-dry.jpg,Vidya's Kitchen,Food & Beverages
egg-chalna-500g,"Egg Chalna - 500gm","Spiced dry-ish masala that clings to every bite of egg. 500gm pack.",in stock,new,133 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/egg-chalna.jpg,Vidya's Kitchen,Food & Beverages
egg-chalna-1kg,"Egg Chalna - 1kg","Spiced dry-ish masala that clings to every bite of egg. 1kg pack.",in stock,new,265 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/egg-chalna.jpg,Vidya's Kitchen,Food & Beverages
egg-curry-500g,"Egg Curry - 500gm","Boiled eggs in a tangy onion-tomato gravy — lunchbox favourite. 500gm pack.",in stock,new,112 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/egg-curry.jpg,Vidya's Kitchen,Food & Beverages
egg-curry-1kg,"Egg Curry - 1kg","Boiled eggs in a tangy onion-tomato gravy — lunchbox favourite. 1kg pack.",in stock,new,224 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/egg-curry.jpg,Vidya's Kitchen,Food & Beverages
mut-curry-cream-500g,"Fresh Cream Mutton Curry - 500gm","Rich, creamy mutton curry with a smooth finish. 500gm pack.",in stock,new,1049 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-curry.jpg,Vidya's Kitchen,Food & Beverages
mut-curry-cream-1kg,"Fresh Cream Mutton Curry - 1kg","Rich, creamy mutton curry with a smooth finish. 1kg pack.",in stock,new,2099 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-curry.jpg,Vidya's Kitchen,Food & Beverages
mut-keema-grandma-500g,"Grandma Mutton Keema - 500gm","Authentic grandma's recipe for minced mutton with traditional spices. 500gm pack.",in stock,new,975 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-keema-gravy.jpg,Vidya's Kitchen,Food & Beverages
mut-keema-grandma-1kg,"Grandma Mutton Keema - 1kg","Authentic grandma's recipe for minced mutton with traditional spices. 1kg pack.",in stock,new,1949 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-keema-gravy.jpg,Vidya's Kitchen,Food & Beverages
mut-keema-gravy-500g,"Mutton Keema Gravy - 500gm","Fine mince, warming spices, perfect with idli-dosa or rice. 500gm pack.",in stock,new,999 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-keema-gravy.jpg,Vidya's Kitchen,Food & Beverages
mut-keema-gravy-1kg,"Mutton Keema Gravy - 1kg","Fine mince, warming spices, perfect with idli-dosa or rice. 1kg pack.",in stock,new,1999 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-keema-gravy.jpg,Vidya's Kitchen,Food & Beverages
mut-curry-500g,"Mutton Curry - 500gm","Bone-in mutton, slow cooked till the oil splits — Sunday special energy. 500gm pack.",in stock,new,975 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-curry.jpg,Vidya's Kitchen,Food & Beverages
mut-curry-1kg,"Mutton Curry - 1kg","Bone-in mutton, slow cooked till the oil splits — Sunday special energy. 1kg pack.",in stock,new,1949 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-curry.jpg,Vidya's Kitchen,Food & Beverages
mut-stew-500g,"Mutton Stew - 500gm","Light and fragrant mutton stew, easy on the stomach. 500gm pack.",in stock,new,1050 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-stew.jpg,Vidya's Kitchen,Food & Beverages
mut-stew-1kg,"Mutton Stew - 1kg","Light and fragrant mutton stew, easy on the stomach. 1kg pack.",in stock,new,2100 INR,https://www.vidyaskitchenhome.com/,https://www.vidyaskitchenhome.com/menu-images/mut-stew.jpg,Vidya's Kitchen,Food & Beverages
